Country,Top Export,Exports,Imports,Import / Export Ratio,2022 Population,2022 GDP,2022 GDP per capita,Est. 2023 Population,Est. 2023 GDP,Est. 2023 GDP per capita,Est. 2024 Population,Est. 2024 GDP,Est. 2024 GDP per capita,Pop. Growth 2013-2022,Pop. Growth / Year,Urban Pop,Fert. Rate,Med. Age,Income,Unemployment,Area
Switzerland,Gold,620424,356763,0.58,8775745,818426,93260,8857359,878442,99464,8939732,938458,105669,8.49,0.93,75,1.5,42,95490,4.3,15942
Norway,Petroleum,321076,107268,0.33,5329047,579422,108729,5373810,553186,101694,5418950,526951,94660,7.43,0.84,86,1.5,40,94540,3.23,148449
Luxembourg,Iron,163585,26068,0.16,652208,81530,125006,665839,85043,128195,679755,88556,131384,20.2,2.09,88,1.4,39,89200,4.58,998
Ireland,Blood,723121,147913,0.2,5120211,532415,103983,5176021,548217,105021,5232439,564020,106059,10.89,1.09,64,1.8,38,79730,4.48,27458
United States,Petroleum,3011859,3375948,1.12,337273680,25744100,76330,339331049,27262591,80851,341400968,28781083,85373,4.41,0.61,83,1.7,38,76770,3.65,3809525
Denmark,Packaged medications,273868,125731,0.46,5903038,400167,67790,5934914,405078,68344,5966962,409989,68898,5.13,0.54,88,1.7,41,73520,4.43,16585
Sweden,Cars,310493,202093,0.65,10477598,591188,56424,10579230,607118,57476,10681848,623048,58529,9.23,0.97,86,1.7,40,63500,7.39,172751
Australia,Iron ore,464517,290113,0.62,27289969,1776577,65100,27658383,1783462,65844,28031771,1790348,66589,12.44,1.35,86,1.6,38,60840,3.7,2968385
Netherlands,Petroleum,916169,712801,0.78,17676931,1008027,57025,17774154,1075270,60387,17871911,1142513,63750,5.34,0.55,92,1.6,42,60230,3.52,14030
Austria,Cars,268277,231947,0.86,9029509,470302,52085,9092715,505594,55655,9156364,540887,59225,6.63,0.7,59,1.5,43,55720,4.99,32388
Israel,Diamonds,166098,107083,0.64,9557481,525002,54931,9740028,527833,54151,9926062,530664,53372,18.59,1.91,92,2.9,29,55140,3.7,8522
Finland,Paper,125788,97265,0.77,5553369,282511,50872,5567807,295283,52999,5582283,308055,55127,2.15,0.26,87,1.4,43,54890,6.72,130689
Germany,Cars,2060409,1571057,0.76,83684120,4076923,48718,84027224,4334011,51504,84371735,4591100,54291,3.91,0.41,77,1.5,45,54030,3.14,138068
Belgium,Vaccines,551281,624289,1.13,11669898,582643,49927,11729414,618917,52731,11789234,655192,55536,4.72,0.51,99,1.6,41,53890,5.56,11849
Canada,Petroleum,721859,567826,0.79,38506159,2137939,55522,38948979,2190060,55194,39396892,2242182,54866,10.97,1.15,81,1.5,41,53310,5.28,3855081
United Kingdom,Gold,1001418,816300,0.82,66971750,3089072,46125,67306608,3292166,48600,67643141,3495261,51075,4.43,0.5,85,1.6,40,49240,3.73,93629
United Arab Emirates,Petroleum,753000,248418,0.33,9441107,507063,53708,9472262,517429,53812,9503520,527796,53916,2.64,0.33,94,1.4,34,49160,2.97,27422
New Zealand,Milk,57462,54676,0.95,5077448,245845,48419,5154625,251735,48475,5232975,257625,48531,15.35,1.52,82,1.8,37,49090,3.3,102587
France,Packaged medications,1005319,830300,0.83,67879371,2775316,40886,68116948,2952665,44122,68355357,3130014,47359,2.99,0.35,84,1.8,42,45290,7.31,210016
Japan,Cars,921211,905099,0.98,124413469,4232173,34017,124164642,4171312,33577,123916312,4110452,33138,-1.82,-0.2,94,1.3,49,42550,2.6,145934
Italy,Packaged medications,745566,743030,1.0,58861053,2046952,34776,58802191,2187490,37178,58743388,2328028,39580,-2.15,-0.1,72,1.3,48,38200,8.07,116629
Spain,Cars,579217,499055,0.86,47712687,1415874,29675,47812883,1531494,31860,47913290,1647114,34045,2.48,0.21,80,1.3,45,32090,12.92,195360
Saudi Arabia,Petroleum,442569,140017,0.32,36394771,1108148,30448,37217292,1107081,31744,38058402,1106015,33040,21.15,2.26,83,2.4,31,27680,5.59,829995
Portugal,Cars,105648,115036,1.09,10395635,254849,24515,10385239,276899,26742,10374853,298949,28969,-0.46,-0.1,67,1.4,46,25950,6.01,35608
Lithuania,Petroleum,61386,55110,0.9,2827767,70878,25065,2812779,76024,26736,2797871,81170,28407,-4.26,-0.53,71,1.6,44,23870,5.96,25207
Latvia,Wood,28854,27894,0.97,1876767,40876,21780,1861940,43171,22987,1847230,45466,24194,-6.62,-0.79,69,1.6,44,21850,6.81,24940
Greece,Petroleum,105756,97970,0.93,10412852,217285,20867,10353498,233780,22416,10294483,250276,23966,-4.91,-0.57,86,1.4,45,21810,12.43,50984
